id,value
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES",2
ORGANIC CHEMICALS,11
PHARMACEUTICAL PRODUCTS,6
RUBBER AND ARTICLES THEREOF,6
IRON AND STEEL,22
ARTICLES OF IRON OR STEEL,6
ALUMINUM AND ARTICLES THEREOF,7
MISCELLANEOUS ARTICLES OF BASE METAL,1
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES",81
"ELECTRICAL MACHINERY; SOUND RECORDERS, TELEVISION IMAGE RECORDERS AND REPRODUCERS",28
"RAILWAY OR TRAMWAY LOCOMOTIVES, TRAFFIC SIGNALING
EQUIPMENT OF ALL KINDS",5
PLASTICS AND ARTICLES THEREOF,9
"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF",4
"SHIPS, BOATS AND FLOATING STRUCTURES",7
"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS",21
cLOCKS AND WATCHES AND PARTS THEREOF,1
ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF,4
"FURNITURE; BEDDING, MATTRESSES, LAMPS AND LIGHTING FITTINGS, ILLUMINATED SIGNS, PREFABRICATED BUILDINGS",1
